Year,Reporter Code,Trade Flow Code,Partner Code,Classification,Commodity Code,Quantity Unit Code,Supplementary Quantity,Netweight (kg),Value,Estimation Code
2007,381,1,36,"H3","120930",8,81,81,7073,0
2007,381,2,36,"H3","120930",8,81,81,7927,0
2007,381,1,36,"H3","120999",8,16779,16779,155704,0
2007,381,2,36,"H3","120999",8,113379,113379,570311,0
2007,381,1,36,"H3","1210",8,960,960,7599,0
2007,381,2,36,"H3","121120",8,250,250,13782,0
2007,381,1,36,"H3","080930",8,20812,20812,183402,0
2007,381,1,36,"H3","1001",8,3503502,3503502,1705301,0
2007,381,2,36,"H3","081120",8,1200,1200,4616,0
2007,381,1,36,"H3","081190",8,44,44,1075,0
2007,381,2,36,"H3","1001",8,17453,17453,19801,0
2007,381,2,36,"H3","081190",8,126058,126058,309318,0
2007,381,2,36,"H3","0812",8,1418280,1418280,2003484,0
2007,381,2,36,"H3","081210",8,1418280,1418280,2003484,0
2007,381,2,36,"H3","100190",8,893,893,4781,0
2007,381,1,36,"H3","121490",8,23150,23150,14325,0
2007,381,1,36,"H3","0805",8,224200,224200,210289,0
2007,381,2,36,"H3","0805",8,16184,16184,18087,0
2007,381,2,36,"H3","130120",8,4606,4606,23901,0
2007,381,1,36,"H3","130190",8,10000,10000,30972,0
2007,381,2,36,"H3","110319",8,49514,49514,117800,0
2007,381,1,36,"H3","1302",8,153776,153776,2645630,0
2007,381,2,36,"H3","1302",8,30177,30177,1865920,0
2007,381,1,36,"H3","130213",8,800,800,120147,0
2007,381,2,36,"H3","110819",8,25730,25730,80679,0
2007,381,1,36,"H3","130219",8,52176,52176,2200465,0
2007,381,2,36,"H3","130219",8,23227,23227,1753255,0
2007,381,2,36,"H3","130232",8,5000,5000,74019,0
2007,381,2,36,"H3","160210",8,397,397,9814,0
2007,381,1,36,"H3","130239",8,100800,100800,325019,0
2007,381,2,36,"H3","130239",8,1950,1950,38646,0
2007,381,2,36,"H3","1404",8,1318,1318,9803,0
2007,381,2,36,"H3","140490",8,1318,1318,9803,0
2007,381,1,36,"H3","152190",8,1250,1250,15206,0
2007,381,1,36,"H3","16",1,,,13500,0
2007,381,1,36,"H3","15",1,,,923178,0
2007,381,1,36,"H3","080510",8,224200,224200,210289,0
2007,381,1,36,"H3","120799",8,40615,40615,32332,0
2007,381,2,36,"H3","080510",8,16184,16184,18087,0
2007,381,2,36,"H3","120799",8,1161,1161,9672,0
2007,381,1,36,"H3","1209",8,2483028,2483028,2944763,0
2007,381,2,36,"H3","1209",8,140014,140014,907796,0
2007,381,2,36,"H3","15",1,,,47756266,0
2007,381,2,36,"H3","1508",8,1423,1423,6603,0
2007,381,2,36,"H3","150810",8,1099,1099,2197,0
2007,381,2,36,"H3","150890",8,324,324,4406,0
2007,381,1,36,"H3","1509",8,199761,199761,761831,0
2007,381,2,36,"H3","16",1,,,4173771,0
2007,381,2,36,"H3","1601",8,6535,6535,49701,0
2007,381,2,36,"H3","1509",8,9602372,9602372,42802900,0
2007,381,1,36,"H3","150910",8,199761,199761,761831,0
2007,381,2,36,"H3","150910",8,4203129,4203129,20029574,0
2007,381,2,36,"H3","150990",8,5399243,5399243,22773326,0
2007,381,2,36,"H3","1510",8,640336,640336,1543088,0
2007,381,2,36,"H3","151000",8,640336,640336,1543088,0
2007,381,2,36,"H3","1511",8,13500,13500,28724,0
2007,381,2,36,"H3","151190",8,13500,13500,28724,0
2007,381,2,36,"H3","1512",8,140107,140107,210061,0
2007,381,2,36,"H3","151219",8,53842,53842,79331,0
2007,381,1,36,"H3","1513",8,2300,2300,18993,0
2007,381,1,36,"H3","121020",8,960,960,7599,0
2007,381,1,36,"H3","1211",8,30,30,1697,0
2007,381,2,36,"H3","1211",8,2417,2417,54905,0
2007,381,1,36,"H3","151311",8,2300,2300,18993,0
2007,381,2,36,"H3","1514",8,20840,20840,58361,0
2007,381,2,36,"H3","151499",8,20840,20840,58361,0
2007,381,1,36,"H3","1515",8,38000,38000,95846,0
2007,381,1,36,"H3","1301",8,10000,10000,30972,0
2007,381,2,36,"H3","1515",8,665380,665380,2804323,0
2007,381,2,36,"H3","151529",8,16040,16040,19915,0
2007,381,2,36,"H3","151550",8,1520,1520,3856,0
2007,381,1,36,"H3","151590",8,38000,38000,95846,0
2007,381,2,36,"H3","151590",8,647820,647820,2780551,0
2007,381,1,36,"H3","1516",8,366,366,31301,0
2007,381,2,36,"H3","1516",8,28225,28225,86768,0
2007,381,1,36,"H3","121190",8,30,30,1697,0
2007,381,2,36,"H3","151620",8,28225,28225,86768,0
2007,381,2,36,"H3","1517",8,74898,74898,144468,0
2007,381,2,36,"H3","151790",8,74898,74898,144468,0
2007,381,2,36,"H3","1518",8,19000,19000,70971,0
2007,381,2,36,"H3","121190",8,2167,2167,41122,0
2007,381,2,36,"H3","151800",8,19000,19000,70971,0
2007,381,2,36,"H3","121220",8,1454,1454,18615,0
2007,381,2,36,"H3","1301",8,4606,4606,23901,0
2007,381,1,36,"H3","1214",8,23150,23150,14325,0
2007,381,1,36,"H3","1521",8,1250,1250,15206,0
2007,381,1,36,"H3","0804",8,9618,9618,60321,0
2007,381,2,36,"H3","0804",8,1850,1850,15368,0
2007,381,2,36,"H3","1602",8,61396,61396,471463,0
2007,381,1,36,"H3","1602",8,432,432,13500,0
2007,381,1,36,"H3","151610",8,366,366,31301,0
2007,381,2,36,"H3","170230",8,399775,399775,212062,0
2007,381,2,36,"H3","1212",8,1454,1454,18615,0
2007,381,2,36,"H3","160416",8,274106,274106,2342853,0
2007,381,1,36,"H3","170490",8,3621,3621,21650,0
2007,381,2,36,"H3","170490",8,109379,109379,674904,0
2007,381,2,36,"H3","1704",8,118102,118102,789635,0
2007,381,2,36,"H3","170410",8,8723,8723,114730,0
2007,381,2,36,"H3","14",1,,,9803,0
2007,381,1,36,"H3","160241",8,432,432,13500,0
2007,381,2,36,"H3","160241",8,1316,1316,22529,0
2007,381,2,36,"H3","160250",8,59683,59683,439120,0
2007,381,2,36,"H3","1603",8,140,140,3431,0
2007,381,2,36,"H3","13",1,,,1889821,0
2007,381,2,36,"H3","160100",8,6535,6535,49701,0
2007,381,2,36,"H3","1604",8,426681,426681,3586459,0
2007,381,2,36,"H3","160412",8,4000,4000,41975,0
2007,381,2,36,"H3","151211",8,86265,86265,130730,0
2007,381,2,36,"H3","160413",8,41849,41849,383226,0
2007,381,2,36,"H3","160414",8,53656,53656,438770,0
2007,381,2,36,"H3","160420",8,53070,53070,379633,0
2007,381,2,36,"H3","1605",8,7103,7103,62718,0
2007,381,2,36,"H3","160520",8,6245,6245,58505,0
2007,381,2,36,"H3","160590",8,858,858,4213,0
2007,381,1,36,"H3","17",1,,,21650,0
2007,381,2,36,"H3","17",1,,,1001697,0
2007,381,2,36,"H3","1702",8,399775,399775,212062,0
2007,381,1,36,"H3","1704",8,3621,3621,21650,0
2007,381,1,36,"H3","13",1,,,2676603,0
2007,381,1,36,"H3","19",1,,,900130,0
2007,381,2,36,"H3","19",1,,,50606300,0
2007,381,1,36,"H3","190230",8,5189,5189,2618,0
2007,381,2,36,"H3","190230",8,713739,713739,1003866,0
2007,381,2,36,"H3","200110",8,1540,1540,5774,0
2007,381,1,36,"H3","18",1,,,8067,0
2007,381,2,36,"H3","18",1,,,28502856,0
2007,381,2,36,"H3","1803",8,396800,396800,656664,0
2007,381,2,36,"H3","180320",8,396800,396800,656664,0
2007,381,2,36,"H3","1805",8,10364,10364,24555,0
2007,381,2,36,"H3","180500",8,10364,10364,24555,0
2007,381,2,36,"H3","180610",8,1695,1695,13623,0
2007,381,2,36,"H3","180620",8,12078,12078,161306,0
2007,381,2,36,"H3","180631",8,137547,137547,820383,0
2007,381,2,36,"H3","180632",8,220803,220803,1953764,0
2007,381,1,36,"H3","1901",8,69237,69237,235890,0
2007,381,2,36,"H3","1901",8,73210,73210,469324,0
2007,381,2,36,"H3","190110",8,1814,1814,12123,0
2007,381,1,36,"H3","190120",8,15142,15142,84949,0
2007,381,2,36,"H3","190120",8,49375,49375,402695,0
2007,381,1,36,"H3","190190",8,54095,54095,150941,0
2007,381,2,36,"H3","190190",8,22021,22021,54506,0
2007,381,1,36,"H3","1902",8,14976,14976,58307,0
2007,381,2,36,"H3","1902",8,26537239,26537239,29908439,0
2007,381,2,36,"H3","190211",8,299722,299722,758848,0
2007,381,1,36,"H3","190219",8,9787,9787,55689,0
2007,381,2,36,"H3","190219",8,22035032,22035032,24705628,0
2007,381,2,36,"H3","190220",8,2070568,2070568,2038690,0
2007,381,2,36,"H3","190240",8,1418178,1418178,1401406,0
2007,381,2,36,"H3","1903",8,135130,135130,594505,0
2007,381,2,36,"H3","190300",8,135130,135130,594505,0
2007,381,2,36,"H3","160300",8,140,140,3431,0
2007,381,2,36,"H3","190410",8,35620,35620,60844,0
2007,381,1,36,"H3","190420",8,2000,2000,13483,0
2007,381,2,36,"H3","190420",8,1407,1407,8175,0
2007,381,2,36,"H3","190490",8,612,612,2648,0
2007,381,1,36,"H3","1905",8,101202,101202,592450,0
2007,381,2,36,"H3","1905",8,4251795,4251795,19562365,0
2007,381,2,36,"H3","190510",8,273326,273326,810669,0
2007,381,2,36,"H3","190520",8,26176,26176,200658,0
2007,381,2,36,"H3","190531",8,688174,688174,2449357,0
2007,381,2,36,"H3","190532",8,367799,367799,2362948,0
2007,381,1,36,"H3","190540",8,1860,1860,16161,0
2007,381,2,36,"H3","190540",8,264683,264683,1324828,0
2007,381,1,36,"H3","190590",8,99342,99342,576289,0
2007,381,2,36,"H3","190590",8,2631637,2631637,12413906,0
2007,381,1,36,"H3","20",1,,,35670,0
2007,381,2,36,"H3","20",1,,,62258449,0
2007,381,2,36,"H3","2001",8,213716,213716,707280,0
2007,381,2,36,"H3","200190",8,212176,212176,701507,0
2007,381,1,36,"H3","2002",8,36570,36570,24787,0
2007,381,2,36,"H3","2002",8,52499058,52499058,39882369,0
2007,381,1,36,"H3","200210",8,36570,36570,24787,0
2007,381,2,36,"H3","200210",8,44847311,44847311,32307589,0
2007,381,2,36,"H3","200290",8,7651747,7651747,7574780,0
2007,381,1,36,"H3","2003",8,93,93,10884,0
2007,381,2,36,"H3","2003",8,8684,8684,188093,0
2007,381,2,36,"H3","200310",8,2608,2608,67862,0
2007,381,1,36,"H3","200320",8,93,93,10884,0
2007,381,2,36,"H3","200320",8,1129,1129,41523,0
2007,381,2,36,"H3","200390",8,4947,4947,78708,0
